,sg,sg,sg,sg,sg,sg,sg,bw,bw,bw,bw,bw,bw,bw,cleaned,cleaned,cleaned,cleaned,cleaned,cleaned,cleaned
,A0,A1,tau1,TD1,A2,tau2,TD2,A0,A1,tau1,TD1,A2,tau2,TD2,A0,A1,tau1,TD1,A2,tau2,TD2
SP2206,0.6978023814477416,2.1394741370470842,25.40837334203156,5.082816837369142,0.8321681905735338,299.99999999999994,144.81115982342135,0.4771965122957522,2.3714051637037135,26.99709705749501,1.2183405610380151,0.8159642460148276,299.99999999999994,148.514938829032,0.7035499992207784,2.1357212902152636,25.373301086964208,5.350707360715929,0.8490897665372911,299.99999999999994,147.3051138783036
HS2601,0.7777369110193435,2.1554320352762177,24.252726191443436,5.44713778293349,0.057605123203723935,20.499522602835803,144.638828692041,0.7854852850183525,2.146706822897318,24.11116385250664,5.691056891870334,0.05868884994920902,20.437424950590874,144.11572446977988,0.9494333874246285,1.9631966094553024,21.006035204415646,10.361052971444034,0.07654572187719814,17.895124967775402,140.0000021872056
FF1107,0.7857930591066465,1.8938062656448744,23.894789014287003,10.36025519623413,0.27943603869238015,201.3657356258765,105.0000033547798,0.7980890964960522,1.8807439835756923,23.849610964077982,10.557877603909631,0.28508901180777985,201.53584631906398,105.00005115609417,0.5536173949353295,2.17396335583711,29.020381166344155,3.58910167133859,0.28370336701406024,299.3038245213652,129.9999508900084
HL1301,0.8703689927531404,2.2877971438101508,25.048158674561396,6.921725514861542,5.271285055445736e-09,285.19387233341257,239.99999334442938,1.0570420012354675,2.0983230396535935,23.59832181819851,10.507258125506311,3.7656028774794085e-16,299.99998307412807,239.9039246968556,0.8036190448370596,2.359665823062518,26.29081567888161,4.99999871774424,0.020684456733188555,289.85344582551,222.61097634307714
GC2408,1.15023689853515,2.0422072300526573,29.05723621793123,6.217373706425513,0.1216614629926162,10.000000000000624,124.25855083809644,1.1659651441587093,2.0253512633099287,28.85768643639495,6.618820814917259,0.1217055053236704,10.000000000000002,124.70952135715795,1.2922666634343993,1.8445506744056235,23.77984450872867,11.778409304646155,0.17166061156405688,15.930681090585772,112.50010761108197
LB0303,1.2182769837029324,2.159522954077424,26.492836053492542,10.372535772660624,0.8363666939877852,299.99999943297274,174.24196442173078,1.2342564517859784,2.143013554060628,26.319612603238923,10.791633914129145,0.8279854308603132,299.999999999997,173.92244983823468,1.250966670034537,2.1214902398601736,25.390687270355834,11.925505826263754,0.8475178708438926,299.9999822841242,172.31497006091067
SE1208,0.7210742265444042,3.7109741564022416,36.517221510838894,3.5630804885721667e-22,0.1993824004711011,45.30473921585772,155.8525682079664,0.8177447634513184,3.618405591225061,36.906069357353935,0.6793431805402144,0.18993460231528136,44.531070943003364,155.52471927030388,0.8179489304218204,3.596251092709561,35.25382516900729,1.7470925838665132,0.23969210469901378,59.06758697476161,150.00009292303977
LA1404,1.2316133738437667,3.0603218994244794,29.469366380463384,3.9359213050518077e-20,1.3449475310549355,299.99999999999994,149.4024430574406,1.1532426313275002,3.135295657761069,28.887804628733686,6.303984858168859e-12,1.3497666861943622,299.9999999999306,149.08696818705673,1.2269949249263556,3.073545057760082,29.865530023768134,3.553409723759048e-12,1.383256142190583,299.99999999992616,153.37520131458348
KA1406,1.1611000038085282,3.2044014202229065,28.707608031755566,11.192901985768238,0.1218259467579537,10.000000000000034,190.30731778160396,1.1813052435244635,3.182934388914341,28.526351720282562,11.506211047085694,0.1219230929630365,11.34824268329948,189.99999892239907,1.2250978312157115,3.1002429970455916,26.30015905621424,13.170597229745876,0.36079725459008744,207.5973971286719,130.00001489116917
