,sg,sg,sg,sg,sg,bw,bw,bw,bw,bw,cleaned,cleaned,cleaned,cleaned,cleaned
,breakpoint,slope1,intercept1,slope2,intercept2,breakpoint,slope1,intercept1,slope2,intercept2,breakpoint,slope1,intercept1,slope2,intercept2
SP2206,47.12421027475033,0.04117555725991954,0.6870495202762333,0.0022674641688039242,2.5205626804915258,46.8956343978824,0.041758425155908496,0.6681218560472516,0.002269113490124904,2.519998178549871,46.80503239131514,0.04157234684119287,0.6782020535510735,0.0022859583809755773,2.517002737969333
HS2601,42.69512952069129,0.047639764774388964,0.6946951845897263,0.0016891599212368869,2.6565622103491604,42.59644058641371,0.04772808374520886,0.6939344969934409,0.0017014153254561854,2.654506743726,42.609201058054,0.047895123950620434,0.6871282432219719,0.0016945192145401062,2.6556990994253002
FF1107,48.713085220072344,0.03910584753337379,0.5939906336575423,0.001937724177737418,2.404564594150818,48.80600647915688,0.03877406407948039,0.6052477274922013,0.001956028274696935,2.4021890215302926,48.13496436524292,0.03970918977726193,0.5822876942460651,0.0019713705649523046,2.3987962772525684
HL1301,52.3392377961421,0.04228349280236144,0.8278493633840845,0.0007479972135725603,3.0017855439863173,52.84834235403188,0.04075601596350702,0.8844726079555221,0.0007893809638511953,2.9966430171559657,52.1264175165478,0.04245252121979369,0.8260776552459713,0.0007668827283625093,2.999000651694189
GC2408,52.73545747084217,0.03561872028611462,1.116198280699371,0.002158536073645934,2.880736402202558,53.00043272773235,0.035346973658643296,1.1235559868871263,0.0021330772225642736,2.883906870573402,53.61468451486222,0.035140572334552776,1.1198400318193606,0.0020924337409065864,2.8917055563211433
LB0303,52.62654633673267,0.040479859629263634,1.02480983363392,0.0020517774978582146,3.047147078554096,52.8831298382852,0.0400930663550186,1.0359027503832807,0.00204505750562549,3.0480005424539613,53.00522151136934,0.04031690653973633,1.0219724445106684,0.002030508064787934,3.0513514765478615
SE1208,57.71288405675359,0.05090473980419582,1.0613723825350527,0.003693946621659552,3.7860434157061413,58.07875304832993,0.04994236650032985,1.099798734492037,0.0036888841124020915,3.786143315725771,57.79072711674415,0.050817184327351245,1.0634578315587282,0.003687323422040938,3.787126762187625
LA1404,46.48674177485806,0.05145848179041013,1.5249453386546836,0.003804487694488639,3.7402242567323962,46.00408658152896,0.05339222558230713,1.458634340192187,0.0038028646799857934,3.7399475926652648,46.54917685786132,0.051717811293909795,1.509749186815109,0.0038064408246413412,3.7399840442916
KA1406,56.974053628642935,0.05469902880405712,0.9075715272752296,0.0028883659540771653,3.8594350110255258,56.96674838578429,0.054555294723192455,0.91654241977341,0.002872265340855769,3.8607565504120807,57.46235792593242,0.05412249663560087,0.9219811352394335,0.0028278830708757985,3.869490579568054
WM0403,43.59732224827826,0.0470757725963673,0.8064432976904947,0.002305214907081743,2.758319728505409,43.12122854230297,0.048196320715884165,0.7767569118305874,0.0023365045551856996,2.754288525404065,43.23286423765213,0.04757569998518572,0.7982306837593243,0.002327915298613265,2.754422016168426
JP1906,53.16613542073495,0.046416046982980234,1.2101958804172936,0.0018180796379152716,3.5812974517745326,53.078716720636386,0.04655998196901833,1.2068463973590904,0.001813492755702501,3.581932622555693,53.14707863531854,0.04638383544123478,1.2129679036294678,0.001816900397014096,3.5815703049597984
SJ1006,51.608127915899054,0.055080420821861466,1.6509214543551693,0.0036302704296369602,4.306167397089335,51.89874950555986,0.054108771753901636,1.6868277396442868,0.0036208508586371042,4.307087699244143,51.67376808742236,0.05499400367850456,1.6530135788778224,0.0036233026487939514,4.307531270375398
ST0412,51.57793161102394,0.0380439974062034,1.2754845097590384,0.0038093640461857674,3.0412360879305065,51.57678534268621,0.03838055053610978,1.260497280882901,0.003767132699180796,3.0457461026348933,51.246854965360285,0.038527480690673854,1.2599314135832624,0.0038162360316985762,3.0387735342889055
RJ1612,37.92160381290124,0.06852284643801702,1.1287091928432955,0.0043198347666860365,3.5633903650385834,38.05897151099561,0.06768197870108088,1.1511574422260265,0.004325054916082042,3.562456799583617,37.45501085937944,0.06962784125678044,1.1132751735189312,0.004346086510680931,3.558404006453434
SL2009,46.83945047960717,0.04353587684689069,1.3164384687829402,0.00309075367686567,3.2108658126469396,47.132201714882996,0.042873366040882536,1.3376470248013803,0.0030632565470673817,3.2139851357554545,47.441080042556564,0.04302310633644909,1.3221007361874564,0.003043741808980449,3.218764968785643
AA0509,46.73569124641894,0.036813136388472015,0.8622986619241393,0.001731325762107277,2.5018713317232604,46.5025397915516,0.037366002995686744,0.8446285904417583,0.0017290659446622325,2.501836673706045,46.89184168996621,0.0367691578393678,0.8598775893548766,0.0017239398531465621,2.503212403155119
IV2507,47.750900640495814,0.0520609322591783,1.181665238873077,0.004031970693965629,3.47509141043974,47.786935036530764,0.05157086370343563,1.201069118495575,0.0040525186477561774,3.471825186714782,47.39357582186855,0.05258370188863153,1.1718262461229094,0.00404240526041025,3.472371868364327
PS2810,38.488665169692574,0.07268635035484071,1.2539812582461827,0.0036014852661947878,3.9129654989364595,38.36891176103695,0.07255580739097227,1.2660068841974164,0.0036038302230049944,3.911619211904187,38.0145914349113,0.07371380423794897,1.243383392017564,0.003629494581241711,3.907609789615099
VK3004,47.90151486768106,0.051369807534566825,0.6335826468016064,0.0026561868223373116,2.9670388736070445,48.39717115102527,0.04984114230707643,0.685259400477688,0.0026258238049353907,2.970347250975978,47.843190374538736,0.0513939635521003,0.635636016683644,0.002651013692437367,2.9676542462360938
SF2004,39.01087948666334,0.0720227406674788,1.1764898546433806,0.0010696540827062474,3.944432164608732,38.83965145758554,0.07260564814016639,1.1635118314323012,0.0010982372134779046,3.940834748459226,38.53389558266659,0.07319767568322025,1.1587910289457346,0.0011236744729384023,3.9360830658077206
EF0410,53.098008230203256,0.03968289599609053,1.7050028153646957,0.0024461400529359285,3.6822003889003887,51.950978455840826,0.04198811529008976,1.6257780083771542,0.002449169117855636,3.6798649491375395,51.36707888258372,0.04128026197114756,1.6717288504168453,0.0025653483371841134,3.6604008729850617
FJ1809,48.042902536405364,0.030431697691950785,0.8833329749357801,0.0012043040849287028,2.287501797391099,51.17843315212364,0.02773987208366516,0.944610018384185,0.00107674134518435,2.3091872725098583,47.96691897106744,0.03049418352898676,0.8830308844531659,0.0011975102303181302,2.2883020386922395
AL1606,46.195005421073816,0.06047812189398356,0.7261987781570588,0.005523850238025225,3.264811655215217,46.34182650729384,0.059947119266841764,0.7405936207418259,0.005547014732364195,3.261593827057234,46.17186127522245,0.060877500905194705,0.7087266335598061,0.00552870768577504,3.2642834358378234
FY2803,42.33127567264379,0.07323479933136874,0.7904208212793161,0.003108507581924926,3.758956209225268,42.92536310069739,0.07088819788342801,0.8503496454292274,0.00310633814245924,3.759910586450854,42.2108335932734,0.07356653902259766,0.7823682617266595,0.003130567620773126,3.755529329549639
BC0611,42.37122580546095,0.04141378935901277,0.8484508443407793,0.0017264692563144295,2.5300512460258204,42.73394732064543,0.04030314075889367,0.8807498591413104,0.0017335837090567587,2.528979278289669,42.16096907519141,0.04173227748825535,0.8417873635724701,0.001741316102981581,2.527845049824171
MJP1611,57.51599114696041,0.040541358765209624,1.4524711022038583,0.0026310205267630928,3.6329217807046237,56.45496756567316,0.04332636938790652,1.3383658137326988,0.0025858713198530373,3.6383693107740283,57.28815581873306,0.04112576946571523,1.4265402929678928,0.002633938695821749,3.6316662918618543
ZM311,47.136963879955964,0.06434376474743585,1.0108166091612996,0.0039362028312806855,3.858245673279309,47.06333302630854,0.06465952266790667,0.9993996545394009,0.003939737242005133,3.8570751373246006,47.12136551899407,0.06468032781207876,0.9965863856459805,0.003922519689265823,3.8595772703339564
BE1110,43.03991646965455,0.040347527727387394,1.0539782012943406,0.003477791797095039,2.6408485559923447,43.23395100104912,0.0394520545687781,1.0855912657424116,0.0034726553760942667,2.641122847486091,43.017408574988025,0.04026666248739684,1.0591111644348494,0.0034701686521983245,2.642000973870612
WB2110,46.88699466066151,0.05526909854086906,1.3386479733446386,0.0033930407298732247,3.770960418944968,46.56449192852334,0.056162576841784405,1.309390672545773,0.003444425146325123,3.7641846216556556,46.77189972291103,0.055658175540762855,1.3247220269882558,0.0034038579704458783,3.768755728476269
HA2610,48.780543200980446,0.05501289418950507,1.2261144953177168,0.003273497775410949,3.7499903572880875,48.830176282200284,0.05467205856929912,1.2395627218680452,0.0032741849199423374,3.7493299526963937,48.440701703880585,0.055522879570230034,1.2159349749560504,0.0032990265049556585,3.7456950631182964
WV0510,46.6987962082789,0.03834690048397008,1.0187185736675946,0.0027357530429014667,2.6817162907610306,46.55387228307405,0.038536579939484776,1.0133071030650023,0.0027618098702519214,2.678761179824409,46.683613095958066,0.038381303870980536,1.0173645887090284,0.002742063723713054,2.681133086777999
KL1507,52.61232962658962,0.0595435772206776,0.925740452204559,0.003659215511467875,3.8659469114210645,52.44032880666168,0.06016715350051127,0.9018029058648223,0.003668592994854603,3.864605995884528,52.72634122779976,0.059614993295623524,0.9165415753642017,0.0036610165478639335,3.866790046418947
SC2404,51.17667776238682,0.07078679616270013,0.4381647949276273,0.0037091868617151525,3.8709739911954166,51.547452800940526,0.06895232386516593,0.5080591387142441,0.0037147299700808776,3.8708909308680672,51.17250057973949,0.07039320889004633,0.45892371342953353,0.003707428417832161,3.871401853304293
HJ1011,51.88938577484444,0.033721380572656355,1.01000511925495,0.002062988522414053,2.652739637361241,51.767294385528174,0.033783698379150795,1.0088282639001775,0.002085286964863245,2.6497692591371873,51.622940911926996,0.03398577887415123,1.0028415898574181,0.00208315856222275,2.6497486731557442
