participant,method,rss_mono,rss_bi,aicc_mono,aicc_bi,delta_aicc,bic_mono,bic_bi,delta_bic,slow_component_supported,bi_params_at_bounds
SF2004,bw,1.6057691102467737,1.5326433335128575,-156.097306697457,-150.1764928379,-5.920813859556972,-148.03355404411315,-138.641930453015,-9.391623591098153,False,tau2
SF2004,cleaned,1.5640947389661006,1.563697177320199,-157.38579223153394,-149.19359747330944,-8.192194758224502,-149.3220395781901,-137.65903508842442,-11.663004489765683,False,
EF0410,sg,1.27355825101682,1.2462539456037398,-167.45492276168184,-160.31222640219883,-7.142696359483011,-159.391170108338,-148.7776640173138,-10.613506091024192,False,TD1
EF0410,bw,1.2901850977058802,1.2624649521092624,-166.819346731182,-159.67895467467184,-7.140392056510166,-158.75559407783817,-148.14439228978682,-10.611201788051346,False,TD1
EF0410,cleaned,1.2730342416717901,1.248397143576329,-167.4750881068186,-160.2280328835546,-7.247055223263999,-159.41133545347475,-148.69347049866957,-10.71786495480518,False,TD1 tau2
FJ1809,sg,0.20886793088747388,0.19263633787707415,-256.04044945310955,-251.79979984178792,-4.240649611321629,-247.97669679976573,-240.2652374569029,-7.711459342862838,False,tau2
FJ1809,bw,0.20571748702893736,0.1900873585801032,-256.7851679786824,-252.45249960135547,-4.332668377326939,-248.7214153253386,-240.91793721647045,-7.803478108868148,False,tau2
FJ1809,cleaned,0.19387476230005143,0.1781660816385023,-259.69044706335933,-255.62611152618396,-4.064335537175367,-251.62669441001552,-244.09154914129894,-7.535145268716576,False,
AL1606,sg,1.6560953932885871,0.8070184129996094,-154.58517548181572,-181.60522553146538,27.020050049649655,-146.52142282847188,-170.07066314658036,23.549240318108474,True,TD1 tau2
AL1606,bw,1.659787613518022,0.8081065371449135,-154.47605289477448,-181.5392020437075,27.063149148933007,-146.41230024143064,-170.00463965882247,23.592339417391827,True,TD1 tau2
AL1606,cleaned,1.655295659406271,0.8061559975446632,-154.6088434572205,-181.65761709066945,27.048773633448945,-146.54509080387666,-170.12305470578443,23.577963901907765,True,TD1 tau2
FY2803,sg,1.3859718910777898,1.2179322055685315,-163.31016639244572,-161.4386237504146,-1.8715426420311303,-155.24641373910188,-149.90406136552957,-5.342352373572311,False,TD1 tau2
FY2803,bw,1.4002953036839738,1.235112349953789,-162.80637163673296,-160.75225966674677,-2.054111969986195,-154.74261898338912,-149.21769728186175,-5.524921701527376,False,TD1 tau2
FY2803,cleaned,1.3857918419107844,1.2190504873154493,-163.3165323096346,-161.39365354229196,-1.9228787673426382,-155.25277965629076,-149.85909115740694,-5.393688498883819,False,TD1 tau2
BC0611,sg,0.3968793980488256,0.35353697571920584,-224.58586432745034,-222.04778741686826,-2.5380769105820775,-216.5221116741065,-210.51322503198324,-6.008886642123258,False,
BC0611,bw,0.393518274590907,0.35758773966235635,-225.00260655201163,-221.48954615264213,-3.5130603993694933,-216.9388538986678,-209.9549837677571,-6.983870130910674,False,tau2
BC0611,cleaned,0.38286430607461314,0.6518527462279918,-226.3475033659601,-192.0680876108568,-34.279415755103315,-218.28375071261627,-180.53352522597177,-37.750225486644496,False,
MJP1611,sg,1.5222657089585532,1.4950038529108296,-158.71405444229114,-151.39488418959752,-7.319170252693624,-150.6503017889473,-139.8603218047125,-10.789979984234805,False,
MJP1611,bw,1.5893055596798351,1.561774795941018,-156.6022846406906,-149.2538742572731,-7.348410383417502,-148.53853198734677,-137.7193118723881,-10.819220114958682,False,tau2
