t,Marker,P,V'O2,V'O2/kg,V'CO2,HF,V'E/V'O2,RER,AF,V'E,W,EU/kg,EU,EUKH,EUFett,CHO,Fett,V'O2_filtered
0 days 00:03:01,,-,0.380517263756302,6.84383567907017,0.377488175591043,-,39.4574476116692,0.992039551279864,35.08,19.67988,13.1730250792506,2.04819439792227,113.879608524478,103.621167507419,0.0,25.2119628971823,0.0,0.3805078319487301
0 days 00:03:02,,-,0.380517263756302,6.84383567907017,0.377488175591043,-,39.4574476116692,0.992039551279864,35.08,19.67988,13.2046583038408,2.04819439792227,113.879608524478,103.621167507419,0.0,25.2119628971823,0.0,0.26190172874431367
0 days 00:03:03,,-,0.380517263756302,6.84383567907017,0.377488175591043,-,39.4574476116692,0.992039551279864,35.08,19.67988,13.2362915284309,2.04819439792227,113.879608524478,103.621167507419,0.0,25.2119628971823,0.0,0.23866875534268905
0 days 00:03:04,,-,0.324186942933666,5.83070041247601,0.328566311171826,-,38.5943983023404,1.01350877428477,19.86,15.15318,13.2655833222115,1.74498753050409,97.0213066960273,88.28148606409,0.0,21.4796803075645,0.0,0.43318794252147086
0 days 00:03:05,,-,0.324186942933666,5.83070041247601,0.328566311171826,-,38.5943983023404,1.01350877428477,19.86,15.15318,13.2925336851827,1.74498753050409,97.0213066960273,88.28148606409,0.0,21.4796803075645,0.0,0.8364376261360884
0 days 00:03:06,,-,1.90218110009272,34.2118902894373,1.87758634871614,-,33.9294665459846,0.987070236700715,46.87,70.7737,13.3850750847898,10.2387908358836,569.276770475128,517.995489761508,0.0,126.032965878712,0.0,1.2004211085180276
0 days 00:03:07,,-,1.14485577201843,20.5909311514106,1.16710019444904,-,38.6752035340984,1.01942989062403,44.77,50.23194,13.5117284733357,6.16236739308332,342.627627055432,311.763231326433,0.0,75.8548008093512,0.0,1.2596720787676927
0 days 00:03:08,,-,0.8350705633938,15.0192547372986,0.859693225957947,-,40.2984627589255,1.02948572688765,45.11,39.65169,13.5940262563873,4.49489947690882,249.91641091613,227.403576583484,0.0,55.3293373682443,0.0,1.0438333781894669
0 days 00:03:09,,-,0.8350705633938,15.0192547372986,0.859693225957947,-,40.2984627589255,1.02948572688765,45.11,39.65169,13.6634474816418,4.49489947690882,249.91641091613,227.403576583484,0.0,55.3293373682443,0.0,0.8390109864116698
0 days 00:03:10,,-,0.92775121602381,16.6861729500685,0.952825905726444,-,38.9677743080125,1.02702738543432,51.28,42.97264,13.7367210786268,4.99376775857012,277.653487376499,252.642056793469,0.0,61.4700868110631,0.0,0.8530221997142239
0 days 00:03:11,,-,1.05567533861356,18.9869665218265,1.11922337256127,-,39.3367340138287,1.0601965695544,46.87,47.76053,13.8191643520824,5.68233959539285,315.938081503843,287.477918915092,0.0,69.9459656727718,0.0,1.0287844082454451
0 days 00:03:12,,-,1.16765123299039,21.0009214566616,1.21282597181504,-,37.576631412131,1.03868855489405,45.8,49.9678,13.911579329635,6.28506756967957,349.449756874184,317.97081375375,0.0,77.3651614972627,0.0,1.1765725554853919
0 days 00:03:13,,-,1.16765123299039,21.0009214566616,1.21282597181504,-,37.576631412131,1.03868855489405,45.8,49.9678,14.0086487065444,6.28506756967957,349.449756874184,317.97081375375,0.0,77.3651614972627,0.0,1.1894290681768325
0 days 00:03:14,,-,1.11230187967821,20.0054294906153,1.14229757967821,-,35.8331678910141,1.02696722944375,41.09,45.32227,14.1034174276217,5.9871409151475,332.885034882201,302.89826604758,0.0,73.6978749507494,0.0,1.1086327197121517
0 days 00:03:15,,-,1.02432469818682,18.4231060824968,1.0047826846562,-,37.1246832838392,0.980922051801336,45.11,44.02736,14.1922176303269,5.5121659099812,306.476424594955,277.8269763733,1.03447381829676,67.5978044703892,0.111353478826347,1.0446156448616875
0 days 00:03:16,,-,1.13618983434684,20.4350689630727,1.0743521836848,-,32.8708538582109,0.94557454327375,46.51,43.53336,14.2815986238364,6.06235123513954,337.066728673759,267.662025115426,38.7739345762087,65.1245803200551,4.17372815675013,1.0762870778032942
0 days 00:03:17,,-,1.13618983434684,20.4350689630727,1.0743521836848,-,32.8708538582109,0.94557454327375,46.51,43.53336,14.3752282706902,6.06235123513954,337.066728673759,267.662025115426,38.7739345762087,65.1245803200551,4.17372815675013,1.2030051761618121
0 days 00:03:18,,-,1.3735053310469,24.7033332922105,1.27235734142151,-,33.9924781831121,0.926357774273587,45.11,52.68848,14.4783732666001,7.29455471002581,405.577241877435,296.947682578364,71.6009543783114,72.2500444229596,7.70731478776227,1.3538317867001115
0 days 00:03:19,,-,1.44787243741892,26.0408711765993,1.31467709762481,-,31.6737157326873,0.908006163836119,38.7,51.0066,14.5938189530152,7.65524640847109,425.631700310993,286.226856874861,100.371360821268,69.6415710157812,10.8042369021817,1.4414950729758955
0 days 00:03:20,,-,1.44787243741892,26.0408711765993,1.31467709762481,-,31.6737157326873,0.908006163836119,38.7,51.0066,14.7120499808794,7.65524640847109,425.631700310993,286.226856874861,100.371360821268,69.6415710157812,10.8042369021817,1.436676386385182
0 days 00:03:21,,-,1.45462287031793,26.1622818402505,1.28918443753775,-,31.8159166505369,0.886267130707207,35.71,51.02959,14.8302417203474,7.65015870249618,425.348823858788,255.667923415603,130.46543155771,62.20630740039,14.0436417177298,1.4024411578786193
