t,Marker,P,V'O2,V'O2/kg,V'CO2,HF,V'E/V'O2,RER,AF,V'E,W,EU/kg,EU,EUKH,EUFett,CHO,Fett,V'O2_filtered
0 days 00:03:01,,-,0.1618670088311109,2.42315881483699,0.197001095986646,-,49.6734946673989,1.21705526907088,61.85,16.9469,13.0627243234,0.725192792837393,48.4428785615378,44.0790734970581,0.0,10.7248354007441,0.0,0.1618170958871718
0 days 00:03:02,,-,1.31078732227137,19.6225647046612,1.58565363936851,-,39.8679779031164,1.20969558709253,72.28,62.66676,13.1239367960478,5.87255875003924,392.28692450262093,356.949146924043,0.0,86.8489408574314,0.0,0.8415658527136594
0 days 00:03:03,,-,1.07931095051446,16.1573495585997,1.24755725436015,-,36.3037454417777,1.15588306943935,74.07,49.84911,13.2232838200293,4.83550371502957,323.011648163975,293.914288386866,0.0,71.5119923082398,0.0,1.1324000942443102
0 days 00:03:04,,-,0.6983734051742269,10.4546916942249,0.810897382375193,-,49.5753700577453,1.16112294134811,72.28,45.03044,13.2971751960982,3.12883622054253,209.006259532241,190.178671227468,0.0,46.2721827804058,0.0,1.0413999670175325
0 days 00:03:05,,-,1.01742851152295,15.2309657413615,1.20167984542484,-,42.8850769423479,1.18109511559303,77.5,54.7925,13.3684943615511,4.55825945701855,304.491731728839,277.06267300099,0.0,67.4118425793162,0.0,0.872788808728345
0 days 00:03:06,,-,0.858247801433479,12.8480209795431,1.05469668846055,-,42.5052064672577,1.22889529888565,60.0,45.12,13.4464588794818,3.84510175706955,256.852797372246,233.71512324384,0.0,56.8649934899854,0.0,0.843292863908677
0 days 00:03:07,,-,0.970938631475812,14.5350094532307,1.22239897535293,-,44.0641649359132,1.2589868563525,60.6,51.51,13.5224909951843,4.34997658212319,290.578435685829,264.402706932146,0.0,64.3315588642691,0.0,0.9215980434998403
0 days 00:03:08,,-,0.949525529767712,14.2144540384388,1.18808544376806,-,44.8853650205975,1.25124117943275,56.6,50.7702,13.6023171685493,4.254042103917,284.170012541656,258.571563879542,0.0,62.9127892650954,0.0,0.9799364867525909
0 days 00:03:09,,-,0.949525529767712,14.2144540384388,1.18808544376806,-,44.8853650205975,1.25124117943275,56.6,50.7702,13.6812532831442,4.254042103917,284.170012541656,258.571563879542,0.0,62.9127892650954,0.0,0.9684571285808211
0 days 00:03:10,,-,0.927249522498676,13.8809808757287,1.18084211385247,-,47.6044138378761,1.27348905035877,49.99,51.33973,13.7592634713646,4.1542416563684,277.503342645409,252.505437318463,0.0,61.4368460628864,0.0,0.927557165929167
0 days 00:03:11,,-,0.8878807471569349,13.2916279514511,1.1508963570887,-,45.6219600770781,1.29622853156121,49.58,47.64638,13.8347113274139,3.9778625884729,265.72122090999,241.784666271236,0.0,58.8283859540721,0.0,0.9086055914604141
0 days 00:03:12,,-,1.02283207797619,15.3118574547334,1.31335975621857,-,43.5257956399725,1.28404240001666,56.07,52.59366,13.9141321759295,4.58246838925129,306.108888401986,278.534153845411,0.0,67.7698671156717,0.0,0.9298229641631405
0 days 00:03:13,,-,0.864978477123999,12.9487795976647,1.0519241620508,-,40.6436586918222,1.2161275567785,56.07,43.22997,13.9926010667803,3.87525637311477,258.867125724067,235.547997963585,0.0,57.3109484096315,0.0,0.9885357057434959
0 days 00:03:14,,-,1.195828430237,17.9016232071408,1.3456172656174,-,38.226219451013,1.12525946999831,57.14,53.94016,14.0782607384256,5.35752260661561,357.882510121923,325.643932305478,0.0,79.2321003176344,0.0,1.0772818865189422
0 days 00:03:15,,-,1.05728612621106,15.8276366199261,1.09462040475933,-,34.8583974444801,1.0353114238641,57.14,45.08346,14.1719138858385,4.73682861153768,316.420151250717,287.916563116968,0.0,70.0526917559532,0.0,1.1808798807361636
0 days 00:03:16,,-,1.35762685857576,20.3237553679007,1.33744498353447,-,33.1222675184652,0.985134446248019,55.04,52.89344,14.2722923602069,6.08240814673277,406.304864201749,369.704330196033,0.0,89.9523917751905,0.0,1.2817859061655728
0 days 00:03:17,,-,1.43547344573946,21.4891234392134,1.33832428089413,-,31.2520584293292,0.9323225621946049,54.05,52.6447,14.387680465063,6.35463309524092,424.489490762094,318.980759996622,66.8095150470927,77.6108905101269,7.19155167352989,1.3849951307396675
0 days 00:03:18,,-,1.43546649950494,21.4890194536668,1.33831779674818,-,31.2522096583038,0.932322556611199,54.05,52.6447,14.5055939271256,6.35460233666382,424.48743608914293,318.979208369941,66.8091992657481,77.6105129853872,7.19151768199656,1.5222312344971254
0 days 00:03:19,,-,1.67575074209164,25.0860889534677,1.53182189558467,-,28.3155476576271,0.914110826334876,45.45,53.9946,14.6330719973537,7.38554894540815,493.354669553265,341.593304826133,106.584465320935,83.1127262350687,11.4730317891211,1.7094157681273772
