t,Marker,P,V'O2,V'O2/kg,V'CO2,HF,V'E/V'O2,RER,AF,V'E,W,EU/kg,EU,EUKH,EUFett,CHO,Fett,V'O2_filtered
0 days 00:03:01,,-,0.441928257040667,7.64581759585929,0.513149439931324,-,40.2554028093364,1.16116005653855,30.0,22.11,14.9699317659281,2.28820817765487,132.258432668451,120.34440040124,0.0,29.2808760100342,0.0,0.44183851121844075
0 days 00:03:02,,-,0.441931183444873,7.64586822568984,0.513152785567593,-,40.255136243897,1.16115993799656,30.0,22.11,15.0066703410863,2.28822332993791,132.259308470411,120.345197309684,0.0,29.2810699050326,0.0,0.3965881407650506
0 days 00:03:03,,-,0.441931183444873,7.64586822568984,0.513152785567593,-,40.255136243897,1.16115993799656,30.0,22.11,15.0434090378836,2.28822332993791,132.259308470411,120.345197309684,0.0,29.2810699050326,0.0,0.3885629982210337
0 days 00:03:04,,-,0.461391201883911,7.98254674539638,0.542412006597848,-,38.0151158677992,1.17560110462254,22.72,20.81152,15.0809566114291,2.3889830632659,138.083221056769,125.64448336694,0.0,30.5704339092312,0.0,0.479042108846909
0 days 00:03:05,,-,0.461391201883911,7.98254674539638,0.542412006597848,-,38.0151158677992,1.17560110462254,22.72,20.81152,15.1193130617226,2.3889830632659,138.083221056769,125.64448336694,0.0,30.5704339092312,0.0,0.685516056899576
0 days 00:03:06,,-,1.15759153497488,20.0275352071778,1.38378326282056,-,37.0289680815005,1.19539856763948,39.47,48.5481,15.1866078330781,5.99375662115632,346.439132702835,315.23139099314,0.0,76.6986352781363,0.0,0.9168295562613601
0 days 00:03:07,,-,1.053430231127,18.2254365246885,1.24733684865628,-,38.6166817677894,1.18407162790632,32.78,45.4003,15.2785113480597,5.45443209627537,315.266175164717,286.866538877718,0.0,69.7972114057707,0.0,1.048498937095274
0 days 00:03:08,,-,1.053430231127,18.2254365246885,1.24733684865628,-,38.6166817677894,1.18407162790632,32.78,45.4003,15.3660852856055,5.45443209627537,315.266175164717,286.866538877718,0.0,69.7972114057707,0.0,1.0580150473826773
0 days 00:03:09,,-,0.777554438362921,13.4524989336146,0.952629411478146,-,40.8273921847037,1.22516104915282,37.26,37.11096,15.4421921469595,4.02600738035664,232.703226584614,211.7409809699,0.0,51.5184868539903,0.0,1.0247849506272741
0 days 00:03:10,,-,1.26714697852906,21.9229581060392,1.48282996892087,-,40.4071120932129,1.17021150193814,58.25,59.58975,15.5271823764459,6.56101082555136,379.226425716869,345.065156893308,0.0,83.9574590981284,0.0,1.0096071962394777
0 days 00:03:11,,-,0.979999117596208,16.9550020345365,1.16495770067,-,47.0256239750907,1.18873341797232,65.93,55.57899,15.6205874383396,5.07422179788753,293.290019917899,266.870027706799,0.0,64.9318802206325,0.0,1.0084808145507809
0 days 00:03:12,,-,0.979999117596208,16.9550020345365,1.16495770067,-,47.0256239750907,1.18873341797232,65.93,55.57899,15.7020568883168,5.07422179788753,293.290019917899,266.870027706799,0.0,64.9318802206325,0.0,1.0191133269190402
