t,Marker,P,V'O2,V'O2/kg,V'CO2,HF,V'E/V'O2,RER,AF,V'E,W,EU/kg,EU,EUKH,EUFett,CHO,Fett,V'O2_filtered
0 days 00:03:31,,-,3.74671993467546,49.2989465088876,3.12227026033491,-,23.2489354738881,0.8333343070130919,32.25,92.58975,27.7152779356574,14.2284879068871,1081.36508092342,458.506183467523,521.850325392995,111.558682108886,56.1733396547895,3.7467613564461013
0 days 00:03:32,,-,3.74671993467546,49.2989465088876,3.12227026033491,-,23.2489354738881,0.8333343070130919,32.25,92.58975,28.0156571248028,14.2284879068871,1081.36508092342,458.506183467523,521.850325392995,111.558682108886,56.1733396547895,3.808212535072442
0 days 00:03:33,,-,3.93202472135429,51.7371673862406,3.34829356210216,-,23.6111231691401,0.851544382190183,32.08,98.29312,28.3241774125825,14.9997498827643,1139.98099109008,553.399737518981,480.577012703169,134.647138082477,51.7305718733228,3.9158754525866515
0 days 00:03:34,,-,4.12143399693726,54.2293946965429,3.47760282626168,-,23.7406203939482,0.843784670298245,35.71,103.9161,28.6481472563949,15.6921300573632,1192.60188435961,547.801977261749,533.689343687625,133.28515261843,57.4477226789693,4.063145034809134
0 days 00:03:35,,-,4.12143399693726,54.2293946965429,3.47760282626168,-,23.7406203939482,0.843784670298245,35.71,103.9161,28.9794255576059,15.6921300573632,1192.60188435961,547.801977261749,533.689343687625,133.28515261843,57.4477226789693,4.191224852747303
0 days 00:03:36,,-,4.24110155005835,55.8039677639257,3.63224984189712,-,23.7224784204037,0.8564401957899689,35.08,106.57304,29.3160477578587,16.1983941771092,1231.0779574603,617.841522173803,498.899730378161,150.32640442185,53.7028773281121,4.23429532018096
0 days 00:03:37,,-,4.24110155005835,55.8039677639257,3.63224984189712,-,23.7224784204037,0.8564401957899689,35.08,106.57304,29.6580138571532,16.1983941771092,1231.0779574603,617.841522173803,498.899730378161,150.32640442185,53.7028773281121,4.1693415033773755
0 days 00:03:38,,-,3.96305098471988,52.1454076936827,3.45752218123983,-,24.303341130699,0.872439490324704,33.89,102.07668,29.9894015668399,15.1962309511078,1154.91355228419,641.285300490698,406.787567686232,156.030486737396,43.7876822051919,4.038829504918904
0 days 00:03:39,,-,3.96305098471988,52.1454076936827,3.45752218123983,-,24.303341130699,0.872439490324704,33.89,102.07668,30.3102108869189,15.1962309511078,1154.91355228419,641.285300490698,406.787567686232,156.030486737396,43.7876822051919,3.926801754720717
0 days 00:03:40,,-,3.8616589226083895,50.8113016132683,3.43601109947975,-,24.4874655931879,0.88977591453335,32.96,100.16544,30.627583042997,14.8706048878679,1130.16597147796,692.400201924257,333.658534327319,168.467202414661,35.9158809824886,3.9011949656263285
0 days 00:03:41,,-,4.03363005745697,53.0740797033812,3.63457638795832,-,25.0623380329862,0.901068351878002,34.68,106.9878,30.9489618608687,15.5758094368234,1183.76151719858,769.175167781841,305.842909971747,187.147242769304,32.9217341196713,3.970214194444458
0 days 00:03:42,,-,4.03363005745697,53.0740797033812,3.63457638795832,-,25.0623380329862,0.901068351878002,34.68,106.9878,31.277784504535,15.5758094368234,1183.76151719858,769.175167781841,305.842909971747,187.147242769304,32.9217341196713,4.083875185813723
0 days 00:03:43,,-,4.17197184204085,54.8943663426428,3.72952222442968,-,25.5062172106957,0.893947122760364,36.58,112.62982,31.611950120796,16.0819857879061,1222.23091988087,765.591164478044,344.166732118875,186.275222500741,37.0470109923439,4.169146581997436
0 days 00:03:44,,-,4.17197184204085,54.8943663426428,3.72952222442968,-,25.5062172106957,0.893947122760364,36.58,112.62982,31.9514587096518,16.0819857879061,1222.23091988087,765.591164478044,344.166732118875,186.275222500741,37.0470109923439,4.1780022451647945
0 days 00:03:45,,-,4.20842602483115,55.3740266425152,3.7858963541975106,-,25.6429551958989,0.8995991213483199,36.36,114.09768,32.2926874599916,16.2449484548076,1234.61608256538,796.270908988088,324.889374688662,193.739880532381,34.9719456069604,4.127944033265716
0 days 00:03:46,,-,4.04075040853682,53.1677685333792,3.7123869048244,-,26.1219771894352,0.918736999192354,35.29,111.55169,32.6295744354001,15.6706597417929,1190.97014037626,842.5401109738409,239.494630988594,204.99759391091,25.7798311074913,4.092995358080967
0 days 00:03:47,,-,4.04075040853682,53.1677685333792,3.7123869048244,-,26.1219771894352,0.918736999192354,35.29,111.55169,32.9603994743935,15.6706597417929,1190.97014037626,842.5401109738409,239.494630988594,204.99759391091,25.7798311074913,4.125865207929526
