time,p01,p02,p04,p07,p08,p09,p15,p17,p18,p19,p20,p21,p25,p26,p27,p28,p29,p31,p32,p33,p35,p36,p38,p40,p42,p43,p44
0,0.7731649395819618,0.3331635306044757,0.8952715330431622,0.9324805972929469,1.1351489323811732,0.7699915671821583,0.846591348374109,0.7891255195603704,0.5244401627533698,0.5313157895970391,0.8345839755671531,1.0097997377291394,0.13714083442522243,1.0807872218437342,1.0023980970264803,1.175659732355569,0.8618072848074354,0.40174814615543875,0.864422241073798,1.0568574528960124,0.5148041605500188,0.7984241255157307,0.46935104430603997,0.7356254785932381,0.5508794614664444,0.550233698320763,0.9657495513588176
5,1.0908135917538382,1.3268443667107086,1.05869921735851,1.0580052794749377,1.2668979759297319,0.7858133888285627,0.7020323967999268,1.051576399889109,0.6388798940998903,0.7951250096366715,0.762272663189521,0.7707744394003789,0.7489709778475461,1.1939397393675928,0.944931758808655,1.1793884316517436,0.9149097593900662,0.4506277647486679,1.1186930111225497,1.017274408382829,1.0764350504867946,0.9448503180270369,0.8225167075909098,0.7810732826079848,0.6358217857934764,0.9966696757176599,1.0297075938607536
10,1.3936942973084865,1.8399862532115694,1.2199959617346412,1.4295227375039297,1.5388132028721373,0.8837170490186674,0.8098206023831022,1.375631984525797,0.8690289651777882,1.03361492116327,0.8569605903452818,0.8190500505788338,1.1842679000351752,1.3724722926576947,1.0099513826221034,1.3395554568034864,1.1461511738141767,0.711854617399274,1.4011341017050576,1.17160938214445,1.4186214847583254,1.1253206721408298,1.0566668138558661,1.009849974345562,0.8750702407640015,1.312442692433657,1.1230882821936798
15,1.618883858063529,1.93583220796804,1.3791070760764081,2.026210293022461,1.9377075588810295,1.1535160242758562,1.1964186905745593,1.7882724771838474,1.2283758004122471,1.2851604623574244,1.0982298476834018,1.1342424470819357,1.4566398226590862,1.6748348671379005,1.2877687358265968,1.6351348489176578,1.5705848539434089,1.144065919338449,1.7573705003711728,1.4443606238308777,1.6191886394226234,1.3286209076951063,1.2237857855810155,1.3864220015104827,1.2561907860656698,1.543798534044571,1.2822027319175384
20,1.7985736134756793,2.0381257400253867,1.570813526154139,2.670952685535368,2.400141719952172,1.596411944802238,1.7206732888241996,2.287894387955979,1.6335429529659637,1.5921124026031024,1.3657689181408492,1.5028254556183298,1.711811177279192,2.1016318589544727,1.7713445175223719,1.963403671304537,2.0618983858147595,1.5481314558961587,2.241549248633659,1.6402757445396698,1.8978023540056415,1.5416914443503726,1.4656571253387998,1.7631553148987684,1.6571421750956323,1.8359104921071308,1.5606116474403715
25,2.0718396117257396,2.3826702803066717,1.8408716881768683,3.251721699873334,2.909078318036553,2.069874970373129,2.271467539131389,2.8276000187590333,1.9900236589489626,1.9228401103251582,1.5933773503109632,1.8122115738793734,2.032926082082258,2.555706895689047,2.3298215255642636,2.310344441066391,2.481411353247055,1.8240680604440194,2.8230237203754345,1.7415993073278075,2.284842611539563,1.7830808032242356,1.804150332964971,2.089593110581296,1.986268886152299,2.234932594001807,1.9837403410083683
30,2.47630686496688,2.843063667965253,2.167889844435053,3.7339751720265113,3.427093028784349,2.4158630153709577,2.8170018038797506,3.29813580519046,2.2703351179440365,2.205519589437995,1.7796510747220158,2.096266734494635,2.365916152602346,2.9159485251355504,2.799221208904521,2.734596638378022,2.7674678340100956,2.0377143529863906,3.349894256684491,1.8962806337097495,2.614049269296038,2.063252031597198,2.109818442966741,2.408810792685165,2.2249006542248515,2.6458782067000235,2.477821691207074
35,2.883252858223203,3.1906230644378213,2.4612651789811073,4.068789311933639,3.8713896786177626,2.611160344941649,3.3271492564757033,3.6084072058784513,2.5026044659114115,2.4083814259662724,1.9424297454698736,2.3766938971362417,2.6243072663336515,3.166508325847893,3.1047182736352923,3.2233293173299886,2.9373214829914716,2.2736956894307725,3.688245461065564,2.178641694804377,2.782480261502241,2.3466325178717455,2.2753583326408364,2.7308557662523185,2.396029597970738,2.9581353969987734,2.8935671864576387
40,3.17047563521358,3.3432398405690065,2.652381026881814,4.2113238139145786,4.182554389061532,2.7341436422241303,3.7360437576163927,3.784604043632042,2.6907741696774887,2.550073095682836,2.092466739954287,2.604634465604145,2.8040064076765656,3.3859573415610775,3.280577867506074,3.6343243839264834,3.033018218645396,2.5054663179783025,3.851899015577566,2.494967383385297,2.865374370354367,2.577901606233836,2.323666078102821,3.005611969218624,2.5234548227995384,3.148597211380072,3.129959066204946
45,3.3513560101564015,3.3704835046424635,2.7501407104514146,4.213517423275665,4.356181672247898,2.8417252074782766,3.9805294592891545,3.926532892451132,2.8011368431586314,2.65484295727561,2.2114837142227337,2.762360435503649,2.954227151551052,3.6006891788189024,3.4011010034315405,3.8274896548412896,3.090359317246639,2.6494339805938663,3.950298253700828,2.713911298133883,2.9747079943508834,2.7436409518789646,2.3339849869003917,3.1919090028529653,2.612853662214268,3.2618138941368087,3.212107650173142
