time,p01,p02,p04,p07,p08,p09,p15,p17,p18,p19,p20,p21,p25,p26,p27,p28,p29,p31,p32,p33,p35,p36,p38,p40,p42,p43,p44
0,0.5669105089412578,0.8479086517012329,0.571922930800894,0.4799437690511834,0.9874463390927647,0.5965550732996105,0.7662795147333374,0.3855339895761586,0.5305272334686774,0.579597559183113,0.39723397551650774,0.6866672763772526,0.882573117084755,1.3447080662246083,0.7403419318494339,0.8708851408626267,0.7963959095676539,0.2527993455742991,0.6754351755854807,0.7759339921433285,0.7975604053714233,0.7116255221516025,0.40761903392673055,0.6925510017931392,1.0573057296929267,1.059466439141575,0.6210494236542303
5,1.2411948531374535,1.4561505398292847,0.6973083686419129,1.0236118012803894,1.2016980972727593,0.8005879868131419,0.7488117315962768,0.9473781285540293,0.4940240503583362,0.6487010852792723,0.6807889396774328,0.5563555949951804,0.7196027899811648,1.198922024151767,0.6036559608943795,1.1992682513899533,0.9864095160733775,0.7732861130064941,0.9936420047404785,0.99384068687363,1.096998042024865,0.9468239986825115,0.8167471062226654,1.0653773210671225,0.8372393409267566,1.315082525181801,0.7551292415263675
10,1.5509564900793003,1.777223159847918,0.9331169411165781,1.6898998652157051,1.4136853888410785,0.9497614677110315,0.9716313899815818,1.373895628535529,0.6863132540114653,0.8763823449041441,0.8816653857389694,0.6967955352568914,0.8149520838583226,1.1552974138875687,0.8211712153864156,1.370825710968073,1.1667408577065728,1.1338171302963385,1.434526274335242,1.1537317745074207,1.3104480483594343,1.152998615837826,1.0676444442658048,1.316235740263631,0.9307839898355637,1.4801775935931873,0.8964744408756042
15,1.6672181604263843,1.9644602046122466,1.262660183465544,2.397586740552243,1.682209291737751,1.1088218349336254,1.366772581132693,1.7492265314522437,1.0601140285259902,1.2159081925910427,1.0567007129089696,1.0217003853415703,1.0824261088026426,1.2499927389745442,1.2822155806763489,1.561853831982312,1.3898013349430856,1.4046215878437354,1.974539501897555,1.3042005294846504,1.5132901309593279,1.361215745580435,1.2572206574812141,1.5280083931720654,1.2359898457057898,1.636551268144361,1.1149029365042837
20,1.8374019362021454,2.2486055589030314,1.7219781358635335,3.092674927217734,2.134569079581214,1.3638839012837571,1.840772365620736,2.2156447044393,1.6156706557745748,1.618823324514667,1.2937198509142667,1.426066550657381,1.3538460821496388,1.5726496016869576,1.9523249590864176,2.1418110972847764,1.752621501242638,1.721484957636363,2.666253533794908,1.5394535092819421,1.8299654146043587,1.6351136179228942,1.5880804537141884,1.797381946090654,1.6599959094579337,1.9216791294000457,1.5584612341795032
25,2.086327729951758,2.6488789173562166,2.1161154435902914,3.507665268838887,2.670273097124379,1.8106076642554847,2.479889692125485,2.711028291548192,2.1746820377645038,2.0342930378053476,1.5998076528395138,1.8574054230186876,1.811382646866373,2.0812124790954067,2.4157121315004937,2.8708474883481747,2.2289215542472185,1.9523117266568057,3.216638522769389,1.8292027212409911,2.2543358373889126,1.9373821450528363,1.9198739545191665,2.2505260096728614,2.0279198331328234,2.3166400045499067,2.156212230990419
30,2.4923409040977744,3.1068049551194616,2.5620728138685513,3.978700804253865,3.26344460597279,2.201406607193631,2.9245086246028253,3.398481238532749,2.6191292956461503,2.401472162426326,1.9427790815974604,2.3180733429785807,2.216256955677146,2.6588441945958423,2.8920307678020105,3.5831805373041443,2.6806964528255652,2.3669502586371824,3.8273590125482135,2.0782439587858157,2.676085942104956,2.2612238968394514,2.155169390619734,2.733963043537754,2.370217816336722,2.772522837581752,2.8127313027766143
35,2.940344895435847,3.3381406338859456,2.8074111670179556,4.1850032945643,3.7229702799932527,2.448490516107249,3.480269561138524,3.7718310663824433,2.7993453049258377,2.5933981571293994,2.157100300328382,2.812571722399632,2.566906426382461,3.1225275845634615,3.2867095762655167,4.112273351713963,2.9398559665841506,2.583876548128584,4.176408012283516,2.4668053756359645,2.906824196790105,2.5370239452154504,2.3407473561282415,3.0877569581337028,2.57367976598363,3.066771492893155,3.2770651659585535
40,3.278603026634273,3.4723288196106434,2.8972462679008584,4.280356588674503,3.958925170911587,2.583005734161478,3.799798255968657,4.058207856342496,2.813138555912994,2.7174140512523905,2.2942063481499355,3.168732715215503,2.84334814587352,3.35673444690807,3.472999524331637,4.337699639292968,3.037472321141468,2.717623894337701,4.285633482608039,2.7312255172691375,3.0120597287907294,2.7584721019525738,2.415086967554559,3.3361827065511265,2.670520877417405,3.2594812172821634,3.5029505381892747
45,3.540376929548206,3.539161169949147,2.9575188318269228,4.376456718201645,4.207027134856727,2.730262383046061,3.921367006448702,4.216407602026961,2.8219879489932276,2.811502691848082,2.370562953608908,3.301312342821546,3.0695685225879585,3.476832152353484,3.5479419361788236,4.401315847166111,3.1697996791065353,2.823164211021027,4.370190708134115,2.9123163504217464,3.0626113326192392,2.9068743166026074,2.325943843172255,3.4480244170793255,2.7699912324510714,3.3442789066973044,3.5680785541648987
50,3.7207999450812768,3.6248445395426123,2.993740650779509,4.435791495975202,4.34487663428071,2.824619333069569,3.972726999737254,4.292290837467525,2.8814813851600682,2.8642329666031925,2.4189775537964695,3.2969584093983317,3.1464246174392057,3.5721402958685373,3.666319892881737,4.593184185336284,3.2265861059243157,2.8653029599354563,4.449414576769478,3.0784713553585,3.131597587946768,3.0942085611621843,2.451573472373758,3.5029112017122372,2.8275213196106033,3.429552423250083,3.5535057708321927
55,3.884370888269,3.712859846388657,3.0020220128355457,4.59820905661797,4.383149145619924,2.9595376150460284,4.097396153056272,4.292544304475866,2.9029138647278354,2.8907768980749897,2.4482785339390913,3.3152505606441824,3.2069853865655364,3.675547716488856,3.733139514877073,4.733225328236803,3.277766919082042,2.9338503485250214,4.502186149047628,3.1931214977689635,3.161129692221662,3.264254431730608,2.5400055692849803,3.5420939641388767,2.8711470080296086,3.5430675493381396,3.6041072762893247
60,3.991488556618606,3.803843835139723,3.022060747226031,4.723392726703604,4.487700220618541,3.0775673167917064,4.1867677301137425,4.409589505067605,2.9406181674191627,2.920553844509242,2.457687793104018,3.410318981286126,3.2426365616655577,3.8090348324106413,3.8221122849543065,4.836494101026746,3.335818146834057,2.969017946846722,4.534294918476655,3.2400975408968935,3.212936939990482,3.430719101494054,2.547706044670563,3.564855242461672,2.8732654276931986,3.6425122777194368,3.698910171915544
