,sg,bw,cleaned
p01,58.606771012104836,61.12819066530858,57.904168894008784
p02,40.737220300839766,38.8493904261408,41.27377443940825
p04,45.341352810104475,45.500214287871444,45.66887687617384
p07,36.91443606710668,37.18105071387048,35.96365761678234
p08,47.227353075909306,47.29925671306475,46.79544831368999
p09,47.12185952830301,46.897283354203026,46.845325292214646
p15,47.662494221970036,47.430370778025015,47.109011857346545
p17,43.151054985712236,43.16360220875042,43.10951600291424
p18,38.69946720446689,38.96419257408199,39.43023940289568
p19,46.31804933270988,46.0629366915649,46.34698261027896
p20,47.72403846221044,48.580253566803485,48.006400534629236
p21,53.18260506341004,53.861065965881416,54.77897973786952
p25,43.60326979660163,43.38076916023945,45.94858934114741
p26,46.33017046105266,46.2530923655661,46.61937609777198
p27,48.171499223998794,48.128880010178705,48.184743092238655
p28,48.032396781120845,48.0809697869399,47.30402302257938
p29,41.120344231791165,41.292606942639374,40.90862821232479
p31,43.72373498673554,45.79261653850307,43.37619387118907
p32,43.36005490827578,43.35818444808203,43.28159958442886
p33,50.38471459439156,50.80225771659913,49.99999999454887
p35,43.329716861507045,42.853926819960265,46.41350260021132
p36,56.34371234766397,56.45948127648292,55.57928873891102
p38,36.859734497939996,36.49880139048049,36.73847374450304
p40,47.46771130784389,47.712427005158126,47.51489931299824
p42,37.65111494636848,37.988907957386395,37.72940042202565
p43,46.47379214008838,46.21204200237583,46.844989393761765
p44,46.45131314937958,46.368490489703454,46.243045726345166
