,sg,sg,sg,sg,bw,bw,bw,bw,cleaned,cleaned,cleaned,cleaned
,A0,A1,tau1,TD1,A0,A1,tau1,TD1,A0,A1,tau1,TD1
p01,1.0189833405983002,3.4476787600212724,31.360581505002497,10.778020663743053,1.085890944568571,3.383555319332065,31.331587652642614,11.5236536964833,1.055666366580324,3.4089872932704575,30.772528441462025,11.78605399186921
p02,0.6526299522723329,3.123806519857753,25.08395403103812,9.998474532728667e-15,0.5026336724902329,3.270686224863409,24.266420284242056,2.2177978928720991e-13,1.334270545953769,2.4204106261144838,18.64243785337624,12.75515743239842
p04,1.0414360543159564,1.9114843511123814,17.336088620696678,12.88076497558585,1.0579889076585378,1.8941450205801287,17.156858476593154,13.196824250239677,1.0457014710349366,1.9072826180906182,17.404668383317116,12.955812740224184
p07,0.8515461340320134,3.6931260298236652,15.881282452718343,8.004914981116611,0.9952429482904486,3.55032346109497,15.97515896332319,8.517174033155058,0.7085857242875517,3.8429785550160136,17.59072461658167,5.490908304344602
p08,1.2479839182300867,3.714005600043242,21.50935001958597,10.951022489478403,1.3136200333003183,3.655045282705845,21.563439212503553,11.386742398961928,1.2607805757840418,3.7051994552109146,21.636876903212702,11.039361940254532
p09,0.8180938231657612,2.4078965134324615,17.433108928848636,12.3792880528176,0.8131740012511047,2.411857394274034,17.130747965496493,12.537509631188383,0.8515529138431576,2.370150707293838,16.122576175004546,13.62758509454536
p15,0.7703356254771881,3.7677792475306076,20.566055320132183,13.134710788977793,0.7861481125997556,3.752633047395696,20.56239489315541,13.18008053262041,0.6853043843755975,3.863003411369396,22.239776075778234,11.117873313446367
p17,0.8956295156124867,3.695878769060118,22.762247489417412,7.5798073566118305,0.9203509821129776,3.673506620961006,22.708858317616954,7.804520250540614,1.0702388312547364,3.5130768824565375,20.870714387655806,10.415249604818499
p18,0.5331231869441009,2.2592085492256824,13.921476986118464,8.817249148350127,0.5816600281203516,2.210985111742627,13.957015813069107,9.059516427206308,0.4870635403763328,2.306761966867964,14.658887071660352,7.690296181460328
p19,0.8033642268680937,2.158203275829114,18.02423961326684,10.976914850692369,0.7866852399007445,2.17461233779013,17.8936323768094,10.939624272228771,0.8231004717077246,2.135754234225581,17.073616186386467,12.01595715105056
p20,0.7091259342615157,1.8575387061148434,24.804205908538496,8.578359226147509,0.8179390782330818,1.7460710665856845,24.082503526693383,10.642849443092356,0.7738825026363327,1.7902822541547967,23.93430251097826,10.306071635880258
p21,0.8034612157994723,2.8318423336967617,32.67045202040059,10.00000119546704,0.8665414081058341,2.7651211401985614,32.53715678094766,10.687114544184576,0.755892484422389,2.8830794189643982,33.46917872162563,8.695460503148073
p25,0.5040222560639538,2.808235969153971,20.843952144605716,5.701023981510507,0.4430558981359891,2.8698254317230534,20.69307705894342,5.478195363609998,0.7453331136373361,2.5573476298547546,17.614654013725296,11.013334632198516
p26,1.1369071229568277,3.3606023201273088,36.627980643098965,5.943559549559779,1.1373634989193113,3.3582896380942038,36.46647315498947,6.018593487869256,1.1554442051281995,3.3382431185410026,36.19903509213946,6.407432696580342
p27,0.9696564604680972,2.722603712193721,14.458883842411321,13.792243427286015,0.9857604116944839,2.704074972039629,14.171371779076495,14.056387237754915,1.031798771772318,2.653953064072093,12.750522596518412,15.618364932176148
p28,1.0989201141846403,3.5558809290546307,32.61561495907281,8.628389645046461,1.2315345378192581,3.411716054061463,31.234602526522966,10.819580334589578,1.1899088690446984,3.4541462869774477,31.181903105111545,10.546220432950404
