,sg,sg,sg,sg,bw,bw,bw,bw,cleaned,cleaned,cleaned,cleaned
,A0,A1,tau1,TD1,A0,A1,tau1,TD1,A0,A1,tau1,TD1
p01,1.1196872748512248,3.4803501584270835,26.758978113647654,13.36488008700596,1.0977554037863484,3.4996247237508955,26.63754730717609,13.302617097561523,1.2658773041359876,3.3162453190314487,23.145140101714127,17.934349739524617
p02,1.3604274489048067,2.539483480608178,17.218913396411534,11.180422878517597,1.3037941616978288,2.592984636150906,16.90862460334207,11.082534196279347,1.4214646823675967,2.4704135410505526,15.015588117921839,13.66100141907564
p04,0.6346156520451322,2.563720454565352,16.90626261860131,8.925163056286367,0.6736415921268291,2.524626932115164,16.810355369376953,9.268806527175228,0.7889514822744355,2.396930505041529,13.110719297390172,13.451614142515085
p07,0.7517777893833633,4.097784615748297,16.99834229587624,5.736924472616283,0.8395342120453079,4.008809452824949,16.98920515239899,6.068750964166523,0.5790187149712677,4.2718682519821085,17.559547629746245,4.210092626145305
p08,1.200943246667825,3.89901778307494,28.083068092845707,10.49241531747153,1.1832509090798784,3.914339467323385,27.72155722657793,10.626558217007835,1.2284049526358496,3.8621897814048554,26.848377593066868,11.610464129575629
p09,0.7823015097530699,2.433290998482147,19.54440794132963,13.239831420946492,0.7359339557238581,2.476636611325916,19.235390725104473,13.083297853456973,0.8068083038356324,2.4046503863498754,18.488775511430966,14.31144231106562
p15,0.8289075471458368,3.9259115446923083,24.212355839561578,11.41015045285206,0.8469809419583127,3.90774098260766,24.173979889088983,11.504877249272203,0.7751801662492531,3.988116744086491,25.40313172375708,9.999999361870367
p17,0.6664560604193116,3.986947795409964,20.437212540530314,7.463403463758332,0.6552998847995226,3.9945389561337805,20.246311348108424,7.573578136359481,0.968259085433339,3.663199895946921,16.309365832669492,12.885016955822113
p18,0.5702881799114692,2.4275136564674225,10.748877440441376,12.884259246814247,0.5651576196674433,2.4320863921118088,10.382747096637749,13.099634799445726,0.605278891231023,2.3889759609288683,9.503077687934253,14.025390982502557
p19,0.6141493200524336,2.3773695930498433,15.797051650278666,9.255737125070025,0.6041077396336296,2.387129637835763,15.68497562786156,9.260829221340757,0.7381903417255636,2.2433869103053796,12.18424630484136,13.460380644453073
p20,0.65322943136661,2.0234257460886393,19.595909020785232,11.21725153400029,0.6302089611872324,2.0442777289590595,19.276510974150792,11.241163885444932,0.6856144355305542,1.9851920476850478,17.865202048025406,13.025559228409897
p21,0.6466061374358264,3.1480122432839956,21.176698104388052,12.942795020928013,0.684423660467831,3.10944976860356,21.04983699330669,13.253198503018961,0.5925142253664154,3.209369670612991,22.64590611756318,11.233811308374827
p25,0.8057093291561205,2.5317566988182514,17.298222895971914,14.317610231779808,0.8025776082741275,2.532996474872495,17.069464128458122,14.41288564365051,0.7953638182099073,2.540980888513097,17.28370222888205,14.094256205315697
p26,1.2329758333154957,3.4272052218350355,31.91348531504984,14.562917199015898,1.2341565397915597,3.4244570757547357,31.657650566416937,14.717977326408318,1.2483602136500145,3.40716083347194,31.272384556391405,15.159999884041914
p27,0.7217230432633943,3.101693068954898,13.210993305160459,12.91183830776895,0.8120051294153025,3.0114355924275866,13.098903244638215,13.358228759718141,0.7165205357315103,3.108667829260756,13.651247912922596,12.46250410230039
p28,1.1469930354773539,3.8198299449512034,15.434404419806814,14.12677637096834,1.111510544731017,3.855231521939982,15.29988361046084,14.089240132306136,1.1582484734348946,3.807661935471684,15.062178269205754,14.574391517388609
p29,0.9831820943216995,2.5433346507770485,17.449228194633037,12.427893924714017,0.9404539615696711,2.5812972443637756,16.965812196780067,12.473034516444176,1.0336239761546007,2.4838629478980567,15.487065616270407,14.32295868087336
p31,0.5130427321519961,2.4727518453184385,16.86563844104432,6.568236727436494,0.558182356330441,2.4282342730482838,16.866698919666828,6.975074889802053,0.8072282593813008,2.1708972792267103,12.750007320864023,13.449739335464772
p32,0.8345385921204233,4.049022971433016,19.157713005863094,7.443961981458209,0.8945227775432985,3.9891585661161533,19.072541693108235,7.806415214375088,0.72982670315369,4.162285939104681,20.603479409081753,5.61544964188483
