,sg,bw,cleaned
p01,,,
p02,,,
p04,,,
p07,,,
p08,117.72682415661761,118.68599920673951,118.72000391247597
p09,,,
p15,110.62854933731718,110.47400252425058,115.07269788870964
p17,,,
p18,184.48967769470391,185.05138166795302,
p19,239.999960249819,239.9999921124644,
p20,,,
p21,,,
p25,,,
p26,128.17078342326272,126.04445965045075,61.503714287008755
p27,,,
p28,,,
p29,,,
p30,,,
p31,,,
p32,91.25619400793799,,113.69312349587727
p33,162.94232600277147,160.75702706783895,165.00000045567188
p34,,,
p35,,,
p36,125.00000041212468,125.00000994541308,129.9997632838476
p37,,,
p38,,,
p40,,,
p42,,,
p43,,,
p44,175.00013353274943,174.78962201605947,158.53044934579722
