participant,method,rss_mono,rss_bi,aicc_mono,aicc_bi,delta_aicc,bic_mono,bic_bi,delta_bic,slow_component_supported,bi_params_at_bounds
p01,sg,1.483240715670452,1.4832353872451651,-159.98660680255824,-151.78213166871907,-8.204475133839168,-151.9228541492144,-140.24756928383405,-11.675284865380348,False,A2 tau2
p01,bw,1.4841185819865963,1.4841182915785216,-159.9576143911708,-151.75297281656074,-8.204641574610065,-151.89386173782697,-140.21841043167572,-11.675451306151245,False,A2
p01,cleaned,1.3702493797669586,1.4784233936758733,-163.86920090742626,-151.94135858162093,-11.92784232580533,-155.80544825408242,-140.4067961967359,-15.39865205734651,False,A2 tau2 TD2
p02,sg,1.1560503788460366,1.0136231710413783,-172.19838763896706,-170.4361653219811,-1.7622223169859694,-164.13463498562322,-158.90160293709607,-5.23303204852715,False,tau2
p02,bw,1.1706970714517226,1.029388453345603,-171.58147718096117,-169.6799149339447,-1.9015622470164715,-163.51772452761733,-158.14535254905968,-5.372371978557652,False,tau2
p02,cleaned,1.0702403037339745,0.9353198628237249,-175.9775686670096,-174.37566334446907,-1.6019053225405173,-167.91381601366575,-162.84110095958405,-5.072715054081698,False,
p04,sg,0.5285906728840825,0.5273626448056258,-210.5433509437436,-202.4526695975421,-8.090681346201507,-202.47959829039976,-190.91810721265708,-11.561491077742687,False,
p04,bw,0.5468417806577464,0.4456931379726303,-208.88003838532435,-210.6972997729968,1.8172613876724313,-200.8162857319805,-199.16273738811176,-1.6535483438687493,False,
p04,cleaned,0.45570343493953513,0.4216827996167918,-217.813584878169,-213.4107880631484,-4.402796815020594,-209.74983222482516,-201.87622567826338,-7.873606546561774,False,
p07,sg,0.6941767560035792,0.6952237526613942,-197.19025007375228,-188.91175001624214,-8.278500057510144,-189.12649742040844,-177.37718763135712,-11.749309789051324,False,
p07,bw,0.7521029785958097,0.7523375240327121,-193.26306498470504,-185.04313541578094,-8.219929568924101,-185.1993123313612,-173.50857303089592,-11.690739300465282,False,
p07,cleaned,0.6036830524719624,0.603683134056271,-204.03443812079715,-195.8297803359374,-8.204657784859762,-195.9706854674533,-184.29521795105236,-11.675467516400943,False,A2 tau2 TD2
p08,sg,2.693768634200697,1.3843385296981927,-130.74772734189116,-155.16329555367503,24.415568211783864,-122.68397468854732,-143.62873316879,20.944758480242683,True,
p08,bw,2.691458698498333,1.3808588208040817,-130.78976339695993,-155.28661827115292,24.49685487419299,-122.72601074361609,-143.7520558862679,21.02604514265181,True,
p08,cleaned,2.6782528643843553,1.3671912112732683,-131.030777152947,-155.77403180537635,24.743254652429357,-122.96702449960316,-144.23946942049133,21.272444920888177,True,
p09,sg,0.543831851212461,0.5438119591563119,-209.1504894403913,-200.9476306120802,-8.202858828311122,-201.08673678704747,-189.41306822719517,-11.673668559852302,False,A2 tau2 TD2
p09,bw,0.5511849354428938,0.5511788119074054,-208.49240538657537,-200.2882986053278,-8.20410678124756,-200.42865273323153,-188.7537362204428,-11.67491651278874,False,A2 tau2 TD2
p09,cleaned,0.5270437605564711,0.5270437605565111,-210.68695891238784,-202.48230774959345,-8.204651162794391,-202.623206259044,-190.94774536470842,-11.675460894335572,False,A2 tau2 TD2
p15,sg,1.0946701310349927,0.8144655986673623,-174.87164545354082,-181.15512591784503,6.283480464304205,-166.80789280019698,-169.62056353296,2.8126707327630243,True,
p15,bw,1.104462791588462,0.8261126452531258,-174.43525206068227,-180.4593774851021,6.024125424419822,-166.37149940733843,-168.92481510021707,2.553315692878641,True,
p15,cleaned,1.0048343377592794,0.6848202141601262,-179.0675339664204,-189.65054248361957,10.583008517199175,-171.00378131307656,-178.11598009873455,7.112198785657995,True,
p17,sg,1.6535751438209663,1.6367200727282079,-154.65980058204724,-146.95717471098288,-7.702625871064356,-146.5960479287034,-135.42261232609786,-11.173435602605537,False,
p17,bw,1.6584384425053917,1.61962355693325,-154.51589911510172,-147.4717008584865,-7.0441982566152035,-146.45214646175788,-135.9371384736015,-10.515007988156384,False,tau2
p17,cleaned,1.7373705071667633,1.5591356027655303,-152.23758016613664,-149.33674782934307,-2.90083233679357,-144.1738275127928,-137.80218544445805,-6.371642068334751,False,
p18,sg,0.3556673820892812,0.28190816711248334,-229.9580517080087,-233.1417161786202,3.1836644706114896,-221.89429905466486,-221.60715379373516,-0.28714526092969095,True,tau2
p18,bw,0.3432374739343283,0.269106377242891,-231.70114941985574,-235.41897224016626,3.7178228203105164,-223.6373967665119,-223.88440985528123,0.2470130887693358,True,tau2
p18,cleaned,0.31681868111786715,0.26922279625497747,-235.62570274787285,-235.3977787698436,-0.2279239780292528,-227.561950094529,-223.86321638495858,-3.6987337095704333,False,tau2
p19,sg,0.29859001574723576,0.1852439785643603,-238.52935350476395,-253.71718907321767,15.187835568453721,-230.4656008514201,-242.18262668833265,11.71702583691254,True,A2 tau2 TD2
p19,bw,0.2994040384067108,0.1797313567080724,-238.39595038921664,-255.19750288460054,16.801552495383902,-230.3321977358728,-243.66294049971552,13.330742763842721,True,A2 tau2 TD2
p19,cleaned,0.15448281878398912,0.15448281878399758,-270.819793081588,-262.6151419187946,-8.204651162793368,-262.7560404282442,-251.08057953390963,-11.675460894334577,False,A2 tau2 TD2
p20,sg,0.44213063950646825,0.39647962519187885,-219.295189698168,-216.43059527559436,-2.8645944225736457,-211.23143704482416,-204.89603289070934,-6.335404154114826,False,
p20,bw,0.44308139016791764,0.39780098563399524,-219.1899340108009,-216.26756291521423,-2.9223710955866693,-211.12618135745706,-204.7330005303292,-6.39318082712785,False,
p20,cleaned,0.4198638642289408,0.3710564428772881,-221.82725866894333,-219.6778480571516,-2.1494106117917227,-213.7635060155995,-208.1432856722666,-5.620220343332903,False,
p21,sg,0.9395130828587139,0.830978554238302,-182.36112897951148,-180.1716078974781,-2.189521082033366,-174.29737632616764,-168.6370455125931,-5.6603308135745465,False,
p21,bw,0.9593016620054429,0.8494181172816759,-181.3397808076092,-179.0961774668597,-2.2436033407495017,-173.27602815426536,-167.56161508197468,-5.714413072290682,False,
p21,cleaned,0.8963556780342333,0.7845009011171392,-184.6653269217291,-182.99186495717063,-1.67346196455847,-176.60157426838526,-171.4573025722856,-5.144271696099651,False,
p25,sg,0.6791978116694759,0.6566001770569437,-198.25914619998818,-191.7125148160353,-6.546631383952871,-190.19539354664434,-180.1779524311503,-10.017441115494051,False,
p25,bw,0.6799902964701012,0.6624274082923703,-198.20200655993625,-191.27956528361298,-6.922441276323269,-190.1382539065924,-179.74500289872796,-10.39325100786445,False,
p25,cleaned,0.6777946654329517,0.6606034199250661,-198.36047939269687,-191.41467247040842,-6.945806922288455,-190.29672673935303,-179.8801100855234,-10.416616653829635,False,
p26,sg,0.8896467794686163,0.6463257726602686,-185.03345359987873,-192.48532351056625,7.45186991068752,-176.96970094653489,-180.95076112568123,3.98106017914634,True,tau2
p26,bw,0.89023006257098,0.6428929166817907,-185.0013380373141,-192.74627278454838,7.744934747234282,-176.93758538397026,-181.21171039966336,4.274125015693102,True,tau2
p26,cleaned,0.8930273533589005,0.47669891759802224,-184.84761108818378,-207.40183378945872,22.554222701274938,-176.78385843483994,-195.8672714045737,19.083412969733757,True,
p27,sg,3.287703064718847,3.2877108490175653,-120.98457671794122,-112.77980953792573,-8.204767180015494,-112.92082406459738,-101.24524715304071,-11.675576911556675,False,A2 TD2
p27,bw,3.317544510750744,3.3175496171936545,-120.54182546980229,-112.33709888511169,-8.204726584690604,-112.47807281645845,-100.80253650022667,-11.675536316231785,False,A2 tau2
p27,cleaned,3.2804265174891887,3.2804271728841137,-121.09314673187328,-112.88848577939581,-8.204660952477468,-113.02939407852944,-101.35392339451079,-11.675470684018649,False,A2 tau2 TD2
p28,sg,1.175173919299996,1.157005956987598,-171.3944542698647,-163.9532503618739,-7.441203907990797,-163.33070161652086,-152.41868797698888,-10.912013639531978,False,tau2
p28,bw,1.1760933527861932,1.1576252223555556,-171.3561326008185,-163.92703106263974,-7.42910153817877,-163.29237994747467,-152.39246867775472,-10.89991126971995,False,tau2
p28,cleaned,1.1625749033528128,1.14372880216373,-171.92261858984045,-164.518798220804,-7.403820369036453,-163.8588659364966,-152.98423583591898,-10.874630100577633,False,
p29,sg,0.8312055625248908,0.7774821305940034,-188.36287497603914,-183.43223090665415,-4.930644069384982,-180.2991223226953,-171.89766852176913,-8.401453800926163,False,
p29,bw,0.8325633958382441,0.7774597483206804,-188.2828953048336,-183.43364154638,-4.849253758453614,-180.21914265148976,-171.89907916149497,-8.320063489994794,False,
p29,cleaned,0.7729005590183327,0.7109463177226661,-191.9264849684035,-187.8159539793476,-4.110530989055917,-183.86273231505967,-176.28139159446258,-7.5813407205970975,False,
p31,sg,1.1429397740050835,1.142958581509662,-172.75726484921225,-164.55180737959506,-8.205457469617187,-164.6935121958684,-153.01724499471004,-11.676267201158367,False,
p31,bw,1.1774219371033483,1.177187658043657,-171.3008105566104,-163.1059102026047,-8.19490035400571,-163.23705790326656,-151.57134781771967,-11.665710085546891,False,
p31,cleaned,1.4571094990967246,1.4562666030788485,-160.857566538602,-152.68126867080636,-8.176297867795626,-152.79381388525815,-141.14670628592134,-11.647107599336806,False,
