t,Marker,P,V'O2,V'O2/kg,V'CO2,HF,V'E/V'O2,RER,AF,V'E,W,EU/kg,EU,EUKH,EUFett,CHO,Fett
0:00:07,,-,2.3496666233007502,29.224709245034202,2.1571768112763801,-,25.750099780115001,0.91807782001262495,30.45,65.68065,0,8.6123049582526594,692.42931864351397,488.36873311191698,140.715453100708,118.82450927297199,15.1469809580956
0:00:08,,-,2.5139583388896498,31.268138543403602,2.2928956244707099,-,24.923754316340101,0.91206587993157495,31.08,67.940880000000007,0.19891535134579399,9.2010100876393395,739.76121104620302,507.27266070529299,164.71424469111699,123.424005037784,17.730273917235401
0:00:09,,-,2.5139583388896498,31.268138543403602,2.2928956244707099,-,24.923754316340101,0.91206587993157495,31.08,67.940880000000007,0.404404576636406,9.2010100876393395,739.76121104620302,507.27266070529299,164.71424469111699,123.424005037784,17.730273917235401
0:00:10,,-,2.1653259220779302,26.931914453705598,1.9398319088307401,-,25.073523318789402,0.89586139853219204,30.45,59.468850000000003,0.59529589712557596,7.8937350307937804,634.65629647582,401.53572064408701,174.74512123324999,97.697255631164694,18.810023814128101
0:00:11,,-,2.1653259220779302,26.931914453705598,1.9398319088307401,-,25.073523318789402,0.89586139853219204,30.45,59.468850000000003,0.77158931281330401,7.8937350307937804,634.65629647582,401.53572064408701,174.74512123324999,97.697255631164694,18.810023814128101
0:00:12,,-,2.1059948038918099,26.193965222534899,1.8710361691467801,-,24.444504756073801,0.88843342143540405,30,56.58,0.94531167933956295,7.6634918223040804,616.14474251324805,374.75592108990998,184.61288630625799,91.181489316279794,19.872215964075199
0:00:13,,-,2.3187213321666502,28.8398175642618,2.0619723408242701,-,23.366326625103,0.88927130320465297,32.25,59.662500000000001,1.1251263409015799,8.4393136907125097,678.52082073328597,414.56949913653199,201.44044945860699,100.86849127409501,21.6835790590535
0:00:14,,-,2.3187213321666502,28.8398175642618,2.0619723408242701,-,23.366326625103,0.88927130320465297,32.25,59.662500000000001,1.31360434666083,8.4393136907125097,678.52082073328597,414.56949913653199,201.44044945860699,100.86849127409501,21.6835790590535
0:00:15,,-,2.3187213321666502,28.8398175642618,2.0619723408242701,-,23.366326625103,0.88927130320465297,32.25,59.662500000000001,1.5020823524200699,8.4393136907125097,678.52082073328597,414.56949913653199,201.44044945860699,100.86849127409501,21.6835790590535
0:00:16,,-,2.3733359229948201,29.519103519836001,2.07894193603371,-,23.249098227263701,0.87595772511224701,28.98,60.104520000000001,1.6924653810635999,8.6099127549765999,692.23698550011898,392.46546645243501,235.78828123248101,95.490381131979404,25.380869885089499
0:00:17,,-,2.3733359229948201,29.519103519836001,2.07894193603371,-,23.249098227263701,0.87595772511224701,28.98,60.104520000000001,1.8847534325914099,8.6099127549765999,692.23698550011898,392.46546645243501,235.78828123248101,95.490381131979404,25.380869885089499
0:00:18,,-,2.31270492954889,28.764986685931401,2.0437657862284602,-,23.935089726642101,0.88371229728261003,28.3,60.165799999999997,2.0747639109054101,8.4059509746354202,675.83845836068804,400.52716492908002,212.962618694914,97.451864946248094,22.923855618397599
0:00:19,,-,2.31270492954889,28.764986685931401,2.0437657862284602,-,23.935089726642101,0.88371229728261003,28.3,60.165799999999997,2.2624968160056098,8.4059509746354202,675.83845836068804,400.52716492908002,212.962618694914,97.451864946248094,22.923855618397599
0:00:20,,-,3.6408227393281298E-2,0.45283864917016597,3.5042186622285802E-2,-,74.826219100761094,0.96247988795940098,30.61,7.9279900000000003,2.3578695386549602,0.13488985963556699,10.8451447146996,9.1977742746722608,0.66583375608636297,2.2379012833752499,7.1672094304237099E-2
0:00:21,,-,3.6408227393281298E-2,0.45283864917016597,3.5042186622285802E-2,-,74.826219100761094,0.96247988795940098,30.61,7.9279900000000003,2.3608820788534901,0.13488985963556699,10.8451447146996,9.1977742746722608,0.66583375608636297,2.2379012833752499,7.1672094304237099E-2
0:00:22,,-,3.6408227393281298E-2,0.45283864917016597,3.5042186622285802E-2,-,74.826219100761094,0.96247988795940098,30.61,7.9279900000000003,2.36389461905202,0.13488985963556699,10.8451447146996,9.1977742746722608,0.66583375608636297,2.2379012833752499,7.1672094304237099E-2
0:00:23,,-,3.0938833456505299,38.481136139931998,2.6674986700824799,-,21.931428053158498,0.862184630791762,31.24,73.164079999999998,2.4903099999823799,11.185890522187901,899.34559798390706,468.64045696536903,347.29652112647602,114.02444208403099,37.383909701450598
0:00:24,,-,2.7452661967951202,34.145101950188099,2.3843184868923402,-,23.0666738525852,0.86851995980420704,30.92,68.580560000000006,2.7262267256763102,9.9409804354772593,799.25482701237195,433.37568600618198,291.86896055355101,105.44420584092001,31.417541501996901
0:00:25,,-,2.7452661967951202,34.145101950188099,2.3843184868923402,-,23.0666738525852,0.86851995980420704,30.92,68.580560000000006,2.9482419554019699,9.9409804354772593,799.25482701237195,433.37568600618198,291.86896055355101,105.44420584092001,31.417541501996901
0:00:26,,-,2.6805001336935099,33.339553901660601,2.3838333123811299,-,24.059260131853399,0.88932407889731901,30.15,69.616349999999997,3.1681936347503101,9.7561848792995001,784.39726429567997,479.39543891484402,232.737686176566,116.641226013344,25.052495820943602
0:00:27,,-,2.6805001336935099,33.339553901660601,2.3838333123811299,-,24.059260131853399,0.88932407889731901,30.15,69.616349999999997,3.3860817637213301,9.7561848792995001,784.39726429567997,479.39543891484402,232.737686176566,116.641226013344,25.052495820943602
0:00:28,,-,2.4920148417769998,30.995209474838301,2.2059330902779002,-,24.086413529222199,0.88520062292442103,29.7,65.072699999999998,3.5962069210064298,9.0609933850372801,728.50386815699699,435.321809859442,225.99933177512099,105.91771529426801,24.327161655018401
0:00:29,,-,2.4920148417769998,30.995209474838301,2.2059330902779002,-,24.086413529222199,0.88520062292442103,29.7,65.072699999999998,3.7985691066055902,9.0609933850372801,728.50386815699699,435.321809859442,225.99933177512099,105.91771529426801,24.327161655018401
0:00:30,,-,2.4920148417769998,30.995209474838301,2.2059330902779002,-,24.086413529222199,0.88520062292442103,29.7,65.072699999999998,4.0009312922047604,9.0609933850372801,728.50386815699699,435.321809859442,225.99933177512099,105.91771529426801,24.327161655018401
0:00:31,,-,2.56236944765813,31.870266761917101,2.3017265847003898,-,24.154245226646001,0.89828052968866201,28.3,66.703100000000006,4.2064837832096904,9.3466923765985506,751.47406707852394,481.41493960356598,200.97969706165301,117.13258871133,21.633982460888401
0:00:32,,-,2.5623646764147199,31.8702074180935,2.3017223349468798,-,24.154290202985401,0.89828054380123101,28.3,66.703100000000006,4.4152263856364096,9.3466750048991702,751.47267039389305,481.41407965981301,200.97928894968101,117.132379479273,21.6339385306438
0:00:33,,-,2.5898463287898101,32.212019014798599,2.3209038623628402,-,24.725837702472099,0.89615504849176297,30.61,69.239819999999995,4.6250333694070598,9.4420101088900008,759.13761275475599,481.02536377485001,208.292063832796,117.037801405073,22.421104825919901
0:00:34,,-,2.5898513800442302,32.212081841346098,2.3209084000730602,-,24.7257894771191,0.89615505274029605,30.61,69.239819999999995,4.8359051342578603,9.4420285344650896,759.13909417099296,481.02631306756598,208.29245977853901,117.038032376537,22.421147446559601
0:00:35,,-,2.3112661841178399,28.7470918422616,2.1059105715871498,-,25.1900107395989,0.91115016784227898,28.98,63.147419999999997,5.0357806971960004,8.4572756092485708,679.96495898358501,464.23832853134002,153.416743141376,112.953364606165,16.514181177758399
0:00:36,,-,2.3112661841178399,28.7470918422616,2.1059105715871498,-,25.1900107395989,0.91115016784227898,28.98,63.147419999999997,5.2246598524692098,8.4572756092485708,679.96495898358501,464.23832853134002,153.416743141376,112.953364606165,16.514181177758399
0:00:37,,-,2.5174558101872,31.3116394301891,2.2614515023053001,-,24.7203147511742,0.89830832110500203,29.55,67.255799999999994,5.4216420858213699,9.1829243924367994,738.30712115191795,473.04718249558903,197.39134397833001,115.09663807678599,21.247722710261598
0:00:38,,-,2.51746079217458,31.311701395206299,2.2614559804048899,-,24.720265830334402,0.89830832219295098,29.55,67.255799999999994,5.6267276002092999,9.1829425676763208,738.30858244117599,473.04812140749402,197.39173204528899,115.096866522505,21.2477644828083
0:00:39,,-,2.54832055508925,31.695529292154902,2.2963041348629898,-,24.713158583690898,0.901104898391623,31.41,68.316749999999999,5.8331412863759802,9.3018651487432198,747.86995795895496,486.03460077834399,193.13467367184899,118.25659386334399,20.789523538412102
0:00:40,,-,2.54832055508925,31.695529292154902,2.2963041348629898,-,24.713158583690898,0.901104898391623,31.41,68.316749999999999,6.0408829413645799,9.3018651487432198,747.86995795895496,486.03460077834399,193.13467367184899,118.25659386334399,20.789523538412102
0:00:41,,-,2.53248664953564,31.498590168353701,2.3074998133137599,-,25.143982501023601,0.91115971479528601,30.15,68.802300000000002,6.2482327742952499,9.2667766062422903,745.04883914188099,508.69680760007299,168.07821745964699,123.770512798071,18.0923807814474
